Week,Chg,Player,Team,Opp,Att_Predicted,Yard,TD_Predicted,Rec_Predicted,Yard.1,TD.1_Predicted,FPts,Loc,Game,Pts*,Att_Actual,Cmp,Yds,TD_Actual,Int,2Pt,Att.1,Yds.1,TD.1_Actual,2Pt.1,Rec_Actual,Yds.2,TD.2,2Pt.2,FL,TD.3,Year,Net_score
3,,Ja'Marr Chase,CIN,NYJ,0,0,0.0,7,94,1.0,15.4,Away,CIN@NYJ,7.0,0,0,0,0,0,0,2,-2,0,0,6,29,1,0,1,0,2022,-8.4
3,,A.J. Brown,PHI,WAS,0,0,0.0,7,90,1.0,15.0,Away,PHI@WAS,14.0,0,0,0,0,0,0,0,0,0,0,5,85,1,0,0,0,2022,-1.0
3,,Stefon Diggs,BUF,MIA,0,0,0.0,8,90,1.0,15.0,Away,BUF@MIA,7.0,0,0,0,0,0,0,0,0,0,0,7,74,0,0,0,0,2022,-8.0
3,,Tyreek Hill,MIA,BUF,2,9,0.0,6,80,1.0,14.9,Home,BUF@MIA,3.0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0,2022,-11.9
3,,Amon-Ra St. Brown,DET,MIN,0,0,0.0,8,88,1.0,14.8,Away,DET@MIN,7.0,0,0,0,0,0,0,0,0,0,0,6,73,0,0,0,0,2022,-7.800000000000001
3,,Courtland Sutton,DEN,SF,0,0,0.0,7,85,1.0,14.5,Home,SF@DEN,9.0,0,0,0,0,0,0,0,0,0,0,8,97,0,0,0,0,2022,-5.5
3,,Christian Kirk,JAC,LAC,0,0,0.0,6,78,1.0,13.8,Away,JAX@LAC,13.0,0,0,0,0,0,0,0,0,0,0,6,72,1,0,0,0,2022,-0.8000000000000007
3,,Mike Williams,LAC,JAC,0,0,0.0,6,78,1.0,13.8,Home,JAX@LAC,7.0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,2022,-6.800000000000001
3,,JuJu Smith-Schuster,KC,IND,0,0,0.0,6,77,1.0,13.7,Away,KC@IND,8.0,0,0,0,0,0,0,0,0,0,0,5,89,0,0,0,0,2022,-5.699999999999999
3,,Jaylen Waddle,MIA,BUF,0,0,0.0,7,77,1.0,13.7,Home,BUF@MIA,10.0,0,0,0,0,0,0,1,9,0,0,4,102,0,0,0,0,2022,-3.6999999999999993
3,,Brandin Cooks,HOU,CHI,0,0,0.0,5,74,1.0,13.4,Away,HOU@CHI,2.0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,2022,-11.4
3,,Michael Thomas,NO,CAR,0,0,0.0,5,74,1.0,13.4,Away,NO@CAR,4.0,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0,2022,-9.4
3,,Rashod Bateman,BAL,NE,0,0,0.0,5,71,1.0,13.1,Away,BAL@NE,4.0,0,0,0,0,0,0,0,0,0,0,2,59,0,0,1,0,2022,-9.1
3,,Drake London,ATL,SEA,0,0,0.0,5,70,1.0,13.0,Away,ATL@SEA,11.0,0,0,0,0,0,0,0,0,0,0,3,54,1,0,0,0,2022,-2.0
3,,Terry McLaurin,WAS,PHI,0,0,0.0,5,70,1.0,13.0,Home,PHI@WAS,10.0,0,0,0,0,0,0,0,0,0,0,6,102,0,0,0,0,2022,-3.0
3,,CeeDee Lamb,DAL,NYG,0,0,0.0,5,69,1.0,12.9,Away,DAL@NYG,14.0,0,0,0,0,0,0,0,0,0,0,8,87,1,0,0,0,2022,1.0999999999999996
3,,D.J. Moore,CAR,NO,0,0,0.0,5,67,1.0,12.7,Home,NO@CAR,1.0,0,0,0,0,0,0,2,13,0,0,1,2,0,0,0,0,2022,-11.7
3,,Tee Higgins,CIN,NYJ,0,0,0.0,5,63,1.0,12.3,Away,CIN@NYJ,9.0,0,0,0,0,0,0,0,0,0,0,5,93,0,0,0,0,2022,-3.3000000000000007
3,,Diontae Johnson,PIT,CLE,0,0,0.0,5,62,1.0,12.2,Away,PIT@CLE,8.0,0,0,0,0,0,0,0,0,0,0,8,84,0,0,0,0,2022,-4.199999999999999
3,,Allen Lazard,GB,TB,0,0,0.0,6,62,1.0,12.2,Away,GB@TB,10.0,0,0,0,0,0,0,0,0,0,0,4,45,1,0,0,0,2022,-2.1999999999999993
3,,Adam Thielen,MIN,DET,0,0,0.0,5,62,1.0,12.2,Home,DET@MIN,12.0,0,0,0,0,0,0,0,0,0,0,6,61,1,0,0,0,2022,-0.1999999999999993
3,,Nelson Agholor,NE,BAL,0,0,0.0,5,60,1.0,12.0,Home,BAL@NE,3.0,0,0,0,0,0,0,0,0,0,0,2,41,0,0,1,0,2022,-9.0
3,,Brandon Aiyuk,SF,DEN,0,0,0.0,5,60,1.0,12.0,Away,SF@DEN,9.0,0,0,0,0,0,0,0,0,0,0,3,39,1,0,0,0,2022,-3.0
3,,Sterling Shepard,NYG,DAL,0,0,0.0,5,58,1.0,11.8,Home,DAL@NYG,4.0,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0,2022,-7.800000000000001
3,,Elijah Moore,NYJ,CIN,0,0,0.0,4,56,1.0,11.6,Home,CIN@NYJ,4.0,0,0,0,0,0,0,0,0,0,0,4,49,0,0,0,0,2022,-7.6
3,,Chris Olave,NO,CAR,0,0,0.0,5,55,1.0,11.5,Away,NO@CAR,14.0,0,0,0,0,0,0,0,0,0,0,9,147,0,0,0,0,2022,2.5
3,,Allen Robinson,LAR,ARI,0,0,0.0,4,55,1.0,11.5,Away,LA@ARI,2.0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,2022,-9.5
3,,Amari Cooper,CLE,PIT,0,0,0.0,4,54,1.0,11.4,Home,PIT@CLE,16.0,0,0,0,0,0,0,0,0,0,0,7,101,1,0,0,0,2022,4.6
3,,Treylon Burks,TEN,LV,0,0,0.0,4,52,1.0,11.2,Home,LV@TEN,1.0,0,0,0,0,0,0,1,8,0,0,1,13,0,0,0,0,2022,-10.2
3,,Corey Davis,NYJ,CIN,0,0,0.0,4,52,1.0,11.2,Home,CIN@NYJ,2.0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,2022,-9.2
3,,Curtis Samuel,WAS,PHI,2,9,0.0,7,65,0.0,7.4,Home,PHI@WAS,5.0,0,0,0,0,0,0,3,13,0,0,7,48,0,0,0,0,2022,-2.4000000000000004
3,,Marquise Brown,ARI,LAR,2,8,0.0,4,58,0.0,6.6,Home,LA@ARI,14.0,0,0,0,0,0,0,0,0,0,0,14,140,0,0,0,0,2022,7.4
3,,Robbie Chosen,CAR,NO,0,0,0.0,6,64,0.0,6.4,Home,NO@CAR,1.0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,2022,-5.4
3,,Breshad Perriman,TB,GB,0,0,0.0,5,64,0.0,6.4,Home,GB@TB,3.0,0,0,0,0,0,0,1,0,0,0,3,44,0,0,1,0,2022,-3.4000000000000004
3,,DeVonta Smith,PHI,WAS,0,0,0.0,5,64,0.0,6.4,Away,PHI@WAS,22.0,0,0,0,0,0,0,0,0,0,0,8,169,1,0,0,0,2022,15.6
3,,Tyler Lockett,SEA,ATL,0,0,0.0,4,60,0.0,6.0,Home,ATL@SEA,7.0,0,0,0,0,0,0,0,0,0,0,9,76,0,0,0,0,2022,1.0
